BARRIO,fullCant,hubCant,mixCant,compCant,noCant,vivSi,construc,asocSi,servSi,sinUso,espacioPub,RUStotal,fullPBarrio,hubPBarrio,mixPBarrio,compPBarrio,noPBarrio,fullPCABA,hubPCABA,mixPCABA,compPCABA,noPCABA
VELEZ SARSFIELD,124,389,432,191,263,7854,16,4,3,521,5,9802,0.08863474,0.27805575,0.30879199,0.13652609,0.18799142,0.01055050,0.01312504,0.00805594,0.00980845,0.01264058
VERSALLES,31,143,134,70,68,4671,9,0,2,159,13,5300,0.06950673,0.32062780,0.30044843,0.15695067,0.15246637,0.00263762,0.00482489,0.00249883,0.00359472,0.00326829
VILLA CRESPO,393,1152,1791,657,706,8428,29,9,8,1567,12,14752,0.08363482,0.24515854,0.38114492,0.13981698,0.15024473,0.03343827,0.03886902,0.03339860,0.03373902,0.03393252
VILLA DEL PARQUE,193,419,965,405,310,11075,45,4,2,531,22,13971,0.08420593,0.18280977,0.42102967,0.17670157,0.13525305,0.01642134,0.01413726,0.01799534,0.02079803,0.01489955
VILLA DEVOTO,258,589,983,431,539,19717,81,3,13,801,33,23448,0.09214286,0.21035714,0.35107143,0.15392857,0.19250000,0.02195184,0.01987314,0.01833100,0.02213321,0.02590599
VILLA GRAL. MITRE,141,490,493,195,322,5886,31,6,3,582,21,8170,0.08592322,0.29859842,0.30042657,0.11882998,0.19622182,0.01199694,0.01653283,0.00919347,0.01001387,0.01547630
VILLA LUGANO,340,1091,726,279,558,13560,36,17,13,1008,95,17723,0.11356045,0.36439546,0.24248497,0.09318637,0.18637275,0.02892878,0.03681085,0.01353846,0.01432753,0.02681919
VILLA LURO,109,350,385,174,281,7762,22,2,4,495,95,9679,0.08391070,0.26943803,0.29638183,0.13394919,0.21632025,0.00927423,0.01180916,0.00717949,0.00893545,0.01350572
VILLA ORTUZAR,116,451,296,117,309,4787,20,3,11,396,14,6520,0.08999224,0.34988363,0.22963538,0.09076804,0.23972071,0.00986982,0.01521695,0.00551981,0.00600832,0.01485149
VILLA PUEYRREDON,104,326,532,229,252,10196,59,5,5,453,9,12170,0.07207207,0.22591823,0.36867637,0.15869716,0.17463617,0.00884880,0.01099939,0.00992075,0.01175987,0.01211189
VILLA REAL,47,174,262,106,114,4466,5,0,1,213,3,5391,0.06685633,0.24751067,0.37268848,0.15078236,0.16216216,0.00399898,0.00587084,0.00488578,0.00544343,0.00547919
VILLA RIACHUELO,80,291,392,148,196,4143,11,2,5,419,3,5690,0.07226739,0.26287263,0.35411021,0.13369467,0.17705510,0.00680677,0.00981848,0.00731002,0.00760027,0.00942036
VILLA SANTA RITA,116,408,434,195,249,7600,39,2,5,543,10,9601,0.08273894,0.29101284,0.30955777,0.13908702,0.17760342,0.00986982,0.01376611,0.00809324,0.01001387,0.01196770
VILLA SOLDATI,101,954,215,98,273,4341,53,0,5,533,31,6604,0.06154784,0.58135283,0.13101767,0.05971968,0.16636197,0.00859355,0.03218841,0.00400932,0.00503261,0.01312122
VILLA URQUIZA,241,596,1289,575,646,17507,154,14,16,1262,44,22344,0.07200478,0.17806991,0.38512100,0.17179564,0.19300866,0.02050540,0.02010932,0.02403730,0.02952806,0.03104874
